scene_id,utterance,target_index,target_id,anchor_ids,relation_type,subsets,base_pred,sparse_no_cal_pred,dense_no_cal_pred,dense_gate_pred,gate_lambda,relation_margin,pred_class_count,event
scene0340_00,'The lamp sitting on the floor next to the curtains.',31,31,"['2', '3']",relative,"same_class_clutter,multi_anchor,relative_position,relational,baseline_wrong,sparse_all_incomplete_at_5",28,31,31,28,0.116835,0.089201,3,recovered
scene0340_00,Its the lamp that's on and is located to the right of a hung up picture frame.,39,39,['3'],directional,"same_class_clutter,single_anchor,directional,relational,baseline_wrong,sparse_any_missed_at_5,sparse_all_incomplete_at_5",28,28,39,28,0.144616,0.076952,3,recovered
scene0340_00,This lamp is right next to a window,31,31,"['2', '3']",relative,"same_class_clutter,multi_anchor,relative_position,relational,baseline_wrong,sparse_all_incomplete_at_5",28,31,31,28,0.116835,0.089201,3,recovered
scene0058_00,The desk that is on the side of the room where there are not chairs against the wall.,28,28,['6'],relative,"single_anchor,relative_position,relational,baseline_wrong",10,28,28,10,0.124881,0.018819,2,recovered
scene0058_00,"NOT the desk with two blue chairs, including a non-swivel chair.",28,28,['6'],attribute,"single_anchor,baseline_wrong",10,28,28,10,0.124881,0.018819,2,recovered
scene0058_00,pick the smaller desk that has only one chair.,28,28,['6'],attribute,"single_anchor,baseline_wrong",10,28,28,10,0.124881,0.018819,2,recovered
scene0058_00,The desk far away from the blue door,28,28,['6'],attribute,"single_anchor,baseline_wrong",10,28,28,10,0.124881,0.018819,2,recovered
scene0330_00,the pillow is the zebra stripe one on the left of the bed,12,12,['2'],directional,"same_class_clutter,same_class_high_clutter,single_anchor,directional,relational,baseline_wrong",10,12,12,10,0.184052,0.376681,5,recovered
scene0330_00,"Facing striped pillows on couch, it's the lefthand striped pillow.",12,12,['2'],relative,"same_class_clutter,same_class_high_clutter,single_anchor,relative_position,relational,baseline_wrong",10,12,12,10,0.165751,0.003834,5,recovered
scene0330_00,"Facing the couch or bed, it's the largest one on the right.",15,15,['2'],relative,"same_class_clutter,same_class_high_clutter,single_anchor,relative_position,relational,baseline_wrong",2,15,15,9,0.141517,0.003834,3,recovered
scene0330_00,"facing the 4 pillows, the striped pillow on your left",12,12,['2'],relative,"same_class_clutter,same_class_high_clutter,single_anchor,relative_position,relational,baseline_wrong",10,12,12,10,0.165751,0.003834,5,recovered
scene0640_00,'The lamp over the desk.',2,2,['36'],other,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,The lamp at the foot of the bed.,2,2,['36'],other,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,It is a lamp on a desk that has a computer chair underneath it.,2,2,['36'],other,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,The lamp on the same side as the grey couch,2,2,['36'],attribute,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,the lamp above the desk next to the sofa.,2,2,['36'],relative,"single_anchor,relative_position,relational,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,"facing the windows, the left lamp",2,2,['36'],relative,"single_anchor,relative_position,relational,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0640_00,lamp on the computer desk,2,2,['36'],other,"single_anchor,dense_scene,baseline_wrong",1,2,2,1,0.125485,0.035023,2,recovered
scene0166_00,The top bag closest to the bookshelf.,36,36,['19'],directional,"same_class_clutter,same_class_high_clutter,single_anchor,directional,relational,dense_scene,baseline_wrong",16,36,36,16,0.175845,0.207799,5,recovered
scene0166_00,"It's the bag closes to the book shelf on the top, a black purse.",36,36,['19'],attribute,"same_class_clutter,same_class_high_clutter,single_anchor,dense_scene,baseline_wrong",16,36,36,16,0.175845,0.207799,5,recovered
scene0166_00,The highest bag closest to the white bookshelf.,36,36,['19'],directional,"same_class_clutter,same_class_high_clutter,single_anchor,directional,relational,dense_scene,baseline_wrong",2,36,36,2,0.131894,0.207799,2,recovered
scene0166_00,pick the bag next to the shelf and is above the other bags.,36,36,['19'],relative,"same_class_clutter,same_class_high_clutter,single_anchor,relative_position,relational,dense_scene,baseline_wrong",16,36,36,16,0.175845,0.207799,5,recovered
scene0166_00,The bag that is under another bag and nearest the computer monitor,37,37,"['14', '15', '36']",directional,"same_class_clutter,same_class_high_clutter,multi_anchor,directional,relational,dense_scene,baseline_wrong,sparse_all_incomplete_at_5",41,37,37,41,0.067518,0.043438,1,recovered
scene0098_00,Box under another box.,27,27,['1'],other,"same_class_clutter,single_anchor,baseline_wrong",1,27,27,27,0.158937,0.420713,3,recovered
scene0098_00,The box by the door and under another box,27,27,"['18', '1']",relative,"same_class_clutter,multi_anchor,relative_position,relational,baseline_wrong",1,27,27,36,0.119323,0.162377,3,recovered
scene0098_00,The box under the whiteboard,36,36,['17'],attribute,"same_class_clutter,single_anchor,baseline_wrong,sparse_any_missed_at_5,sparse_all_incomplete_at_5",1,1,36,36,0.176678,0.886872,3,recovered
scene0098_00,the box is under the white board,36,36,['17'],attribute,"same_class_clutter,single_anchor,baseline_wrong,sparse_any_missed_at_5,sparse_all_incomplete_at_5",1,1,36,36,0.176678,0.886872,3,recovered
scene0098_00,"Facing the whiteboards, it's the black box on the double shelf closest to the orange can.",36,36,"['32', '35']",directional,"same_class_clutter,multi_anchor,directional,relational,baseline_wrong,sparse_all_incomplete_at_5",1,36,36,1,0.115503,0.050117,3,recovered
scene0098_00,pick the black box on the table,36,36,['32'],support,"same_class_clutter,single_anchor,relational,baseline_wrong",1,36,36,1,0.14385,0.058851,3,recovered
scene0098_00,The little black box all by itself.,36,36,['17'],relative,"same_class_clutter,single_anchor,relative_position,relational,baseline_wrong,sparse_any_missed_at_5,sparse_all_incomplete_at_5",1,1,36,36,0.176678,0.886872,3,recovered
scene0098_00,The box is black and is on the wall with the whiteboard.,36,36,['17'],attribute,"same_class_clutter,single_anchor,baseline_wrong,sparse_any_missed_at_5,sparse_all_incomplete_at_5",1,1,36,36,0.176678,0.886872,3,recovered
scene0501_00,The towel next to the door.,32,32,['6'],relative,"single_anchor,relative_position,relational,baseline_wrong",20,32,32,20,0.130663,0.174458,2,recovered
scene0501_00,The towel closest to door,32,32,['6'],directional,"single_anchor,directional,relational,baseline_wrong",20,32,32,20,0.130663,0.174458,2,recovered
scene0501_00,The towel is colorful and near the door,32,32,['6'],relative,"single_anchor,relative_position,relational,baseline_wrong",20,32,32,20,0.130663,0.174458,2,recovered
scene0501_00,The towel closest to the door.,32,32,['6'],directional,"single_anchor,directional,relational,baseline_wrong",20,32,32,20,0.130663,0.174458,2,recovered
scene0501_00,select the towel nearest the door,32,32,['6'],directional,"single_anchor,directional,relational,baseline_wrong",20,32,32,20,0.130663,0.174458,2,recovered
scene0501_00,It's the towel next to the door.,32,32,['6'],relative,"single_anchor,relative_position,relational,baseline_wrong",20,32,32,20,0.130663,0.174458,2,recovered
scene0501_00,The towel next to the door.,32,32,['6'],relative,"single_anchor,relative_position,relational,baseline_wrong",20,32,32,20,0.130663,0.174458,2,recovered
scene0670_00,"The trash can is small and white. It is near brown cabinets and there is a poster that says ""kitchen"" above it.",25,25,"['27', '33']",relative,"same_class_clutter,multi_anchor,relative_position,relational,baseline_wrong,sparse_any_missed_at_5,sparse_all_incomplete_at_5",3,3,25,3,0.114327,0.01566,3,recovered
scene0670_00,Choose the garbage can  next to the  counter and under the poster that says KITCHEN,25,25,"['27', '33']",relative,"same_class_clutter,multi_anchor,relative_position,relational,baseline_wrong,sparse_any_missed_at_5,sparse_all_incomplete_at_5",3,3,25,3,0.114327,0.01566,3,recovered
scene0058_00,the desk closest to the chairs that are lined up against the wall,10,10,['18'],directional,"single_anchor,directional,relational,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",10,10,28,10,0.133464,0.250514,2,harmed
scene0058_00,"While facing the window, the desk that is further away from the whiteboard",10,10,['18'],relative,"single_anchor,relative_position,relational,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",10,10,28,10,0.133464,0.250514,2,harmed
scene0058_00,Choose the desk closest to the two blue chairs.,10,10,['18'],directional,"single_anchor,directional,relational,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",10,10,28,10,0.133464,0.250514,2,harmed
scene0058_00,"From the two desks, pick the one that is bigger.",10,10,['18'],attribute,"single_anchor,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",10,10,28,10,0.133464,0.250514,2,harmed
scene0058_00,It's the desk that has two blue chairs pulled out from it.,10,10,['18'],attribute,"single_anchor,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",10,10,28,10,0.133464,0.250514,2,harmed
scene0098_00,"Next to the door by the door handle side, you will choose the top box on the table",1,1,['19'],relative,"same_class_clutter,single_anchor,relative_position,relational,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",1,1,26,1,0.15336,0.285009,3,harmed
scene0688_00,Facing the bed the leftmost lamp.,13,13,['5'],directional,"single_anchor,directional,relational,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",13,13,31,13,0.151669,0.774381,2,harmed
scene0511_00,This trash can is the one that is further from the brown cabinet. It is a larger trash can that sits on the floor,8,8,['1'],support,"single_anchor,relational,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",8,8,7,8,0.127313,0.084152,2,harmed
scene0213_00,"box on the floor, farthest from the sofa",26,26,"['3', '11']",directional,"multi_anchor,directional,relational,baseline_correct,sparse_any_missed_at_5,sparse_all_incomplete_at_5",26,26,0,26,0.129704,1.087424,2,harmed
